DC,first_harmonic_amplitude,first_harmonic_frequency,first_harmonic_phase,modulation_ratio
0.1600198745727539,0.2513972222805023,0.004347825888544321,2.9558284282684326,1.5710375308990479
0.14800722897052765,0.22779913246631622,0.004347825888544321,-1.3698784112930298,1.539108157157898
0.3110506534576416,0.4415460228919983,0.004347825888544321,-1.014963984489441,1.419530987739563
0.3159419894218445,0.4438267946243286,0.004347825888544321,4.538124084472656,1.4047731161117554
0.16941668093204498,0.2570987939834595,0.004347825888544321,3.3127050399780273,1.5175529718399048
0.08595728874206543,0.06587737798690796,0.017391303554177284,1.144460678100586,0.7663966417312622
0.4010608494281769,0.45866283774375916,0.008695651777088642,3.6210670471191406,1.1436240673065186
0.10424089431762695,0.16717629134655,0.004347825888544321,3.0334434509277344,1.6037496328353882
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.12246374785900116,0.19889229536056519,0.004347825888544321,-0.46738874912261963,1.6240911483764648
0.1811358630657196,0.27855268120765686,0.004347825888544321,3.0676913261413574,1.5378108024597168
0.3103260397911072,0.4416147768497467,0.004347825888544321,-1.1651684045791626,1.4230670928955078
0.08677535504102707,0.14212395250797272,0.004347825888544321,4.6998419761657715,1.6378377676010132
0.09644618630409241,0.13324791193008423,0.008695651777088642,3.6848998069763184,1.3815778493881226
0.2586956322193146,0.3748920261859894,0.004347825888544321,-1.5139940977096558,1.4491626024246216
0.15199269354343414,0.23785994946956635,0.004347825888544321,4.015859127044678,1.5649433135986328
